Date,Latitude,Longitude,WS2M,WD2M,T2M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,FIRE
19980815,-108.62167,37.74167,1.05,184.7,22.28,31.45,13.75,6.61,41.25,79.82,27.44,24.62,10.51,1
20200906,-107.21821,37.3058,0.53,337.4,16.92,27.37,9.23,-5.86,23.82,71.98,23.78,25.6,3.11,1
19890507,-107.71722,37.6175,0.69,313.2,10.52,20.08,2.24,-3.46,40.18,71.67,26.33,23.76,14.87,1
19940729,-107.4375,37.4025,0.39,24,16.5,24.96,6.9,4.22,51.53,71.6,28.19,22.18,13.94,1
20000619,-107.80972,37.35278,0.23,252.9,10.8,18.63,3.79,1.54,59.47,71.31,26.6,25.36,24.09,1
19851021,-107.19306,37.33139,0.37,180.9,2.11,8,-1.12,-0.57,83.96,71,23.79,11.48,10.33,1
19970814,-106.86361,37.29,2.12,274,12.21,19.29,5.4,1.59,51.45,71.6,26.23,22.96,16.6,1
20110731,-107.83444,37.43111,1.5,180.1,16.75,22.32,11.81,9.72,65.91,74.47,29.83,20.44,10.6,1
19900808,-107.60056,37.36111,0.24,83.8,16.13,25.09,7.94,-0.51,37.41,71.95,24.9,20.68,11.87,1
20180715,-107.61667,37.37,0.27,116.7,14.74,20.57,9.03,8.7,70.32,71.83,28.83,19.23,8.21,1
20070709,-107.3725,37.27528,0.46,344.5,17.48,26.8,9.81,-2.51,29.04,71.52,25.23,28.21,9.42,1
20030604,-106.76694,37.19889,2.79,268.6,16.94,25.43,8.58,-5.42,24.2,75.26,21.49,32.26,4.58,1
20000815,-107.25556,37.28194,0.24,261.6,14.8,21.86,9.44,6.57,61.53,72.1,27.62,16.89,11.57,1
19891001,-108.91389,37.80139,1.96,252.9,12.4,20.87,5.66,-4.54,34.93,78.76,23.35,20.39,3.53,1
20160623,-108.53889,37.55611,1.2,220.7,25.16,33.76,18.07,6.01,33.6,79.83,30.08,28.04,7.46,1
20050629,-107.81694,37.37611,1.67,272.9,14.99,22.56,6.67,-1.77,33.73,74,21.57,33.49,3.63,1
19970723,-108.53139,37.60944,0.64,224.7,18.61,23.61,13.77,10.43,61.15,80.12,30.45,24.72,18.16,1
20030524,-107.18417,37.32639,1.01,1.6,12.52,20.16,6.63,1.73,50.96,71.51,26.84,20.12,9.45,1
19920804,-107.23556,37.22,1.1,270.1,22.62,31.35,14.42,8.45,45.14,78.97,28.71,18.22,10.01,1
20100706,-107.32194,37.27667,0.59,347.1,15.02,24.3,5.44,-6.08,26.64,71.4,22.27,32.01,4.5,1
20000618,-107.53444,37.42306,0.29,197.9,10.59,18.98,3.03,2.19,61.25,71.54,26.75,21.25,20.66,1
20170721,-107.42917,37.29361,0.29,124.2,14.15,19.32,8.45,8.45,71.42,71.72,28.32,20.74,8.21,1
20000727,-106.91194,37.20972,2.49,353,21.67,31.43,13.22,5.93,42.15,76.03,27.67,21.39,13.92,1
20200803,-107.76131,37.40312,0.4,213.9,17.1,25.65,9.91,4.69,49.5,71.82,26.85,24.47,8.85,1
20200625,-107.77621,37.48764,0.44,286.6,16.1,23.67,9.45,-1.32,31.9,71.45,26.61,22.92,10.51,1
20190725,-107.28222,37.49972,0.25,332.4,14.21,21.02,9.71,9.54,76.52,71.82,28.47,23.33,9.07,1
19960802,-107.37778,37.23444,1,254.1,23.46,31.73,14.5,6.85,38.6,78.93,28.15,20.91,15.42,1
19940728,-106.87139,37.44861,1.31,340,16.25,25.35,8.09,5.45,56.16,71.86,26.16,20.74,16.11,1
19970916,-107.49389,37.31028,0.26,287.4,9.86,16.73,5.15,4.99,75.94,71.42,28.72,18.12,15.37,1
20000617,-108.29639,37.65083,1.78,289,14.88,22.12,7.21,-7.81,22.47,73.79,25.26,32.67,5.25,1
20000807,-108.30083,37.52306,1.26,316,19.11,28.17,9.66,2.85,40.26,74.07,28.2,24.77,11.86,1
20070831,-106.87528,37.06833,1.5,309.3,18.99,27.56,13.08,8.63,56.18,76.23,27.6,21.26,7.7,1
20040714,-108.35444,37.53833,1.32,61.2,19.18,28.75,11.44,6.72,48.78,74.34,32.08,22.22,9.66,1
20120927,-108.73361,37.82833,1.68,349.1,12.85,19.93,7.2,3.08,53.8,79.19,24.02,20.03,4.11,1
20000725,-108.61917,37.74611,0.61,172.2,24.76,33.33,14.83,6.7,34.96,79.86,30.58,24.67,13.44,1
20120810,-108.29306,37.62833,1.39,324,19.21,25.46,11.1,6.51,46.85,74.33,30.69,22.9,9.33,1
20200516,-106.95391,37.11281,2.17,272.8,13.83,21.83,3.15,0.13,43.92,75.45,24.25,26.36,10.82,1
19900714,-108.67,37.74306,0.8,317.1,20.92,28.2,14.08,9.57,54.33,79.65,32.34,22.46,13.94,1
20120817,-107.84917,37.43917,1.06,309.8,17.37,23.79,11.07,6.93,52.32,74.24,27.61,16.35,7.92,1
19920622,-107.1,37.28833,1.01,317,14.86,23.39,5.92,-2.67,32.72,71.87,24.6,29,10.81,1
19980615,-107.24833,37.28194,0.33,290.1,7.67,17.42,-2.81,-6.6,44.74,71.01,22.29,32.56,4.03,1
20060703,-107.43528,37.20028,1.11,254.4,22.16,29.93,15.45,9.26,48.82,79.16,28.48,19.89,9.41,1
20200530,-107.68051,37.45557,0.31,268.2,14.14,20.49,6.9,4.98,59.07,71.7,27.68,19.28,9.75,1
20130703,-107.18667,37.25306,1.51,27.1,15.76,25.24,6.41,3.01,51.45,71.61,26.78,28.75,8.48,1
19890713,-108.39833,37.55333,1.78,286.7,18.27,26.02,10.22,2.59,38.65,74.38,26.2,29,11.55,1
19880712,-106.87222,37.14694,2.34,264.7,20.06,27.86,12.85,0.92,30.46,75.89,28.62,26.83,15.56,1
20020723,-108.60083,37.6025,1.23,134.5,23.24,30.31,16.38,10.58,48.13,80.27,29.37,27.95,6.11,1
20110402,-108.72111,37.63694,2.19,211.7,12.72,21.14,2.28,-3.12,35.28,79.18,24.4,20.36,9.69,1
20200724,-108.29831,37.41543,0.92,238.9,13.65,17.74,9.61,9.93,79.93,74.14,31.21,12.85,10.44,1
20020713,-108.22861,37.85111,0.74,72.5,22.38,32.51,10.78,-4.35,20.24,74.19,27.83,30.86,5.56,1
20100726,-108.50528,37.79722,2.17,186.5,21.79,29.5,14.25,11.85,58.25,79.08,29.38,27.31,7.12,1
19970719,-108.02333,37.56806,1.17,88.2,16.6,23.08,11.04,6.27,53.36,74.1,29.8,25.02,11.93,1
19910617,-107.33139,37.25472,0.63,288.7,13.1,20.81,5.62,-5.17,29.7,71.62,20.67,30.25,7.59,1
20200623,-106.69671,37.06209,2.25,209.5,20.28,29.02,10.98,2.61,36.7,75.85,25.99,28.26,8.27,1
20180831,-107.2325,37.56028,0.45,281.2,13.51,18.95,6.8,1.15,43.99,71.5,25.53,18.64,12.44,1
19970820,-108.46083,37.53806,0.86,183.6,22.71,29.81,14.49,6,36.66,80.21,26.14,26.8,11.28,1
19930616,-107.75194,37.37139,0.21,221.6,12.11,19.66,4.97,3.88,63.82,71.11,26.88,28.96,12.08,1
20110701,-106.81639,37.23639,1.79,243.7,20.04,28.68,10.29,-3.59,22.49,75.83,22.88,32.6,3.43,1
20050518,-107.09167,37.15583,1.9,255.7,11.29,19.18,3.5,-0.51,46.01,75.33,22.73,29.27,8.34,1
20000613,-108.49944,37.56583,1.75,324,18.91,26.86,9.12,-1.85,25.68,79.63,24.1,32.3,5.75,1
19990612,-108.45222,37.54111,1,353,17.96,27.1,8.34,-1.8,30.12,79.9,24.71,28.46,11.73,1
19890801,-107.75944,37.34417,0.2,231.4,11.67,15.47,7.58,9.26,86.46,71.6,29.69,11.96,11.34,1
20180708,-107.09278,37.44194,1.06,102.1,18.66,28.15,9.42,6.58,52.37,72.04,28.36,23.11,7.8,1
19980716,-107.75167,37.45833,0.37,115.6,16.45,24.67,9.27,5.15,53.28,72.11,28.14,28.26,8.77,1
